cod_cliente|cod_contrato|cod_chamado|data_chamado_andamento|descricao_chamado_andamento|privado_chamado
79|183|124|2004-03-09 11:40:59|atendimento feito pelo tecnico alexandre|0
79|183|347|2004-06-29 11:49:06|Cliente diz que conecta mas nao abre paginas. |0
79|183|347|2004-06-29 11:59:04|Apos contato com Adilson o mesmo confirma que voltou a acessar normalmente.|0
79|183|517|2004-08-21 10:15:42|Liguei para o cliente mas o mesmo não se encontra em sua residência.  Rodrigo|0
79|183|517|2004-08-23 13:12:27|O problema deste cliente era que a placa HPNA estava desativada em sua máquina sendo assim o mesmo não conseguia autenticar, então ativei sua placa e voltou ao normal, sendo que não deu para fazer testes em sua máquina porque sua máquina tem atualmente 65Mb de ram e está instalado o SO XP, está muito lento mas fiz testes com o notebook e a navegação está perfeita.  Rodrigo|0
79|183|517|2004-08-23 14:26:51|Sr. Adilson confirma que apos atendimento tecnico sta acessando normalmente.|0
4|5|1088|2004-12-24 11:35:01|ok.|0
4|5|1115|2004-12-29 13:57:02|Andou?|0
4|5|1115|2004-12-29 15:35:46|ok.|0
4|5|1117|2004-12-30 10:59:59| |0
4|5|1118|2004-12-30 11:00:15| |0
4|5|1132|2005-01-04 18:20:17|fjkhaslkj fhashjf as  sdkjfh akljdfh asldjkh fasdlkjfh asdfsa fda fajhfk |0
4|5|1132|2005-01-04 18:20:58|sdfjkh fsdf adfsdf|0
4|5|1132|2005-01-04 21:38:37|ok.|0
2|2|1135|2005-01-04 15:15:22|parece que esta ficando legal!@@@|0
2|2|1135|2005-01-04 21:41:17|ok|0
2|2|1136|2005-01-04 21:45:14|ok|0
4|5|1137|2005-01-04 18:30:08|outro andamento|0
4|5|1137|2005-01-04 21:43:53|ok|0
4|5|1194|2005-01-18 12:16:17|teste 2|1
4|5|1194|2005-01-21 15:11:17| |1
4|5|1195|2005-01-21 15:11:44| |1
340|607|1704|2005-04-18 18:25:24| |0
4|5|2326|2005-08-02 11:29:22|abri este chamado e ainda sem resposta |0
4|5|2326|2005-08-02 11:30:44|chamado fechado por mim|0
79|183|2510|2005-09-10 11:36:18|O cliente ja foi instalado no dia 10/09/2005. roberto|1
79|183|2926|2005-12-16 12:37:15|Tentei falar com o Sr.Adilson, mas ninguém atendeu o telefone.Fran.|0
79|183|2926|2005-12-16 14:21:30|O cliente continua com problema.Fran.|0
79|183|2926|2005-12-21 10:32:42|Tentei entrar em contato com o cliente, mas o mesmo está viajando e só retornará após o dia 08/01.Sendo assim fecharei o chamado e aguadarei o contato.Fran.|0
469|890|3189|2006-03-01 14:05:26|O link esta em perfeito funcionanmento. conforme teste.  ping 172.17.44.11 packet 1 round trip time = 10 ms.  Roberto|1
469|890|3376|2006-04-05 16:18:32|O técnico Romualdo já resolvel o problema.Fran.|0
4|921|3412|2006-04-11 12:18:41|teste 2|0
4|921|3412|2006-04-11 12:19:04|teste2|0
4|917|3470|2006-04-27 11:51:21|Romualdo feche este chamado, por gentileza.Fran.|0
4|917|3470|2006-04-27 11:59:15| |0
